coseq_kmeans	hclust	PrimaryStage	StageBias	Label
FBgn0011288	2	4	E8	E8	early_constraint
FBgn0011289	6	5	E1	E1	uniform_low
FBgn0011291	1	1	E1	E1	hourglass
FBgn0011296	2	4	E7	E7	early_constraint
FBgn0011297	5	1	E4	E4	uniform_high
FBgn0011335	6	2	E1	E1	uniform_low
FBgn0011474	4	1	E2	E2	late_constraint
FBgn0011476	3	4	E2	broad	inverse_hourglass
FBgn0011481	5	2	E1	broad	uniform_high
FBgn0011509	4	1	E1	broad	late_constraint
FBgn0011554	2	4	E7	E7	early_constraint
FBgn0011556	2	4	E7	E7	early_constraint
FBgn0011570	1	1	E2	broad	hourglass
FBgn0011573	4	5	E1	E1	late_constraint
FBgn0011586	4	5	E1	E1	late_constraint
FBgn0011592	3	5	E4	E4	inverse_hourglass
FBgn0011604	4	3	E2	E2	late_constraint
FBgn0011638	2	4	E3	broad	early_constraint
FBgn0011642	3	5	E3	broad	inverse_hourglass
FBgn0011655	6	5	E3	broad	uniform_low
FBgn0011656	2	3	E3	E3	early_constraint
FBgn0011661	3	5	E6	E6	inverse_hourglass
FBgn0011666	3	2	E8	broad	inverse_hourglass
FBgn0011672	3	5	E8	broad	inverse_hourglass
FBgn0011692	4	5	E2	E2	late_constraint
FBgn0011695	6	1	E5	E5	uniform_low
FBgn0011705	1	3	E7	E7	hourglass
FBgn0011706	5	5	E2	E2	uniform_high
FBgn0011708	1	3	E1	broad	hourglass
FBgn0011710	6	2	E2	E2	uniform_low
FBgn0011715	6	1	E1	E1	uniform_low
FBgn0011722	3	2	E6	E6	inverse_hourglass
FBgn0011737	1	3	E1	E1	hourglass
FBgn0011739	3	2	E3	broad	inverse_hourglass
FBgn0011740	5	1	E4	E4	uniform_high
FBgn0011741	4	2	E2	E2	late_constraint
FBgn0011742	1	1	E1	broad	hourglass
FBgn0011745	6	1	E6	broad	uniform_low
FBgn0011747	4	3	E6	broad	late_constraint
FBgn0011754	3	5	E7	broad	inverse_hourglass
FBgn0011761	6	1	E1	E1	uniform_low
FBgn0011762	6	3	E2	E2	uniform_low
FBgn0011766	5	2	E2	broad	uniform_high
FBgn0011769	4	1	E1	broad	late_constraint
FBgn0011770	1	5	E1	E1	hourglass
FBgn0011774	5	2	E2	E2	uniform_high
FBgn0011785	4	2	E4	broad	late_constraint
FBgn0011787	1	1	E6	broad	hourglass
FBgn0011802	5	1	E1	E1	uniform_high
FBgn0011817	3	2	E3	E3	inverse_hourglass
FBgn0011824	4	5	E3	broad	late_constraint
FBgn0011826	3	2	E4	E4	inverse_hourglass
FBgn0011834	2	4	E7	E7	early_constraint
FBgn0011836	4	2	E1	E1	late_constraint
FBgn0012034	1	3	E8	E8	hourglass
FBgn0012036	2	4	E7	E7	early_constraint
FBgn0012037	6	2	E3	broad	uniform_low
FBgn0012051	6	4	E7	broad	uniform_low
FBgn0012058	4	1	E3	E3	late_constraint
FBgn0013263	4	3	E4	E4	late_constraint
FBgn0013272	5	5	E6	broad	uniform_high
FBgn0013303	6	1	E1	E1	uniform_low
FBgn0013305	1	1	E1	broad	hourglass
FBgn0013334	2	4	E8	E8	early_constraint
FBgn0013342	5	4	E8	E8	uniform_high
FBgn0013343	5	2	E6	broad	uniform_high
FBgn0013432	6	5	E1	E1	uniform_low
FBgn0013435	5	5	E2	E2	uniform_high
FBgn0013531	6	5	E2	E2	uniform_low
FBgn0013576	6	2	E5	broad	uniform_low
FBgn0013673	1	1	E1	E1	hourglass
FBgn0013680	5	5	E8	broad	uniform_high
FBgn0013681	4	5	E1	broad	late_constraint
FBgn0013683	6	1	E8	E8	uniform_low
FBgn0013687	6	5	E8	E8	uniform_low
FBgn0013694	6	2	E2	E2	uniform_low
FBgn0013700	5	2	E2	E2	uniform_high
FBgn0013704	6	5	E1	E1	uniform_low
FBgn0013710	6	5	E2	broad	uniform_low
FBgn0013717	1	1	E1	E1	hourglass
FBgn0013725	3	3	E2	E2	inverse_hourglass
FBgn0013726	4	3	E3	broad	late_constraint
FBgn0013732	4	1	E1	E1	late_constraint
FBgn0013746	1	4	E1	E1	hourglass
FBgn0013753	6	3	E1	broad	uniform_low
FBgn0013756	4	2	E1	E1	late_constraint
FBgn0013762	1	1	E2	broad	hourglass
FBgn0013764	3	3	E1	broad	inverse_hourglass
FBgn0013765	4	2	E3	broad	late_constraint
FBgn0013767	2	1	E8	E8	early_constraint
FBgn0013770	1	1	E8	broad	hourglass
FBgn0013772	5	2	E7	E7	uniform_high
FBgn0013773	1	5	E1	E1	hourglass
FBgn0013799	3	2	E4	E4	inverse_hourglass
FBgn0013949	2	4	E8	E8	early_constraint
FBgn0013953	5	2	E2	E2	uniform_high
FBgn0013983	1	3	E2	broad	hourglass
FBgn0013987	3	4	E1	broad	inverse_hourglass
FBgn0014006	1	1	E4	E4	hourglass
FBgn0014007	4	1	E1	broad	late_constraint
FBgn0014010	6	1	E1	broad	uniform_low
FBgn0014011	2	3	E8	broad	early_constraint
FBgn0014018	5	1	E8	E8	uniform_high
FBgn0014022	4	2	E2	broad	late_constraint
FBgn0014023	1	1	E7	broad	hourglass
FBgn0014028	3	2	E6	E6	inverse_hourglass
FBgn0014029	6	4	E2	broad	uniform_low
FBgn0014032	2	4	E1	E1	early_constraint
FBgn0014075	4	2	E2	E2	late_constraint
FBgn0014092	4	5	E1	E1	late_constraint
FBgn0014133	3	5	E8	broad	inverse_hourglass
FBgn0014141	3	2	E4	E4	inverse_hourglass
FBgn0014269	6	1	E2	E2	uniform_low
FBgn0014340	5	2	E1	E1	uniform_high
FBgn0014366	6	3	E1	E1	uniform_low
FBgn0014411	1	2	E1	E1	hourglass
FBgn0014417	5	3	E3	E3	uniform_high
FBgn0014469	5	5	E7	E7	uniform_high
FBgn0014861	4	5	E2	E2	late_constraint
FBgn0014870	3	5	E2	E2	inverse_hourglass
FBgn0014877	2	1	E7	broad	early_constraint
FBgn0014906	1	1	E1	broad	hourglass
FBgn0015000	1	3	E7	E7	hourglass
FBgn0015019	1	3	E4	broad	hourglass
FBgn0015024	4	5	E4	broad	late_constraint
FBgn0015025	5	1	E2	E2	uniform_high
FBgn0015032	2	4	E6	E6	early_constraint
FBgn0015039	2	4	E8	E8	early_constraint
FBgn0015239	6	5	E3	E3	uniform_low
FBgn0015269	5	3	E3	broad	uniform_high
FBgn0015278	1	1	E1	E1	hourglass
FBgn0015282	4	5	E2	broad	late_constraint
FBgn0015286	5	5	E8	broad	uniform_high
FBgn0015295	5	1	E4	E4	uniform_high
FBgn0015296	1	2	E2	E2	hourglass
FBgn0015298	6	2	E1	broad	uniform_low
FBgn0015320	6	1	E1	E1	uniform_low
FBgn0015331	6	1	E2	E2	uniform_low
FBgn0015338	4	2	E2	broad	late_constraint
FBgn0015360	3	2	E1	E1	inverse_hourglass
FBgn0015371	3	3	E2	E2	inverse_hourglass
FBgn0015372	2	4	E1	E1	early_constraint
FBgn0015379	6	2	E1	E1	uniform_low
FBgn0015380	3	2	E3	E3	inverse_hourglass
FBgn0015391	6	2	E1	E1	uniform_low
FBgn0015396	4	1	E2	E2	late_constraint
FBgn0015477	6	2	E1	E1	uniform_low
FBgn0015513	4	2	E3	E3	late_constraint
